town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,floor,date
BUKIT PANJANG,2 ROOM,488,SEGAR RD,47.0,2-room,2014,91 years 07 months,298000.0,8.0,65.0
BUKIT PANJANG,2 ROOM,488,SEGAR RD,47.0,Model A,2014,91 years 07 months,265000.0,5.0,65.0
BUKIT PANJANG,2 ROOM,488,SEGAR RD,47.0,Model A,2014,91 years 06 months,280000.0,11.0,65.0
BUKIT PANJANG,2 ROOM,636A,SENJA RD,46.0,Model A,2015,92 years 06 months,290000.0,5.0,65.0
BUKIT PANJANG,2 ROOM,636A,SENJA RD,46.0,Model A,2015,92 years 06 months,305000.0,14.0,65.0
BUKIT PANJANG,3 ROOM,132,CASHEW RD,73.0,Model A,1988,65 years 07 months,385000.0,8.0,65.0
BUKIT PANJANG,3 ROOM,443A,FAJAR RD,68.0,Model A,2016,93 years 07 months,410888.0,17.0,65.0
BUKIT PANJANG,3 ROOM,230,PENDING RD,73.0,Model A,1988,65 years 07 months,358000.0,8.0,65.0
BUKIT PANJANG,3 ROOM,547D,SEGAR RD,67.0,Model A,2015,92 years 02 months,400000.0,17.0,65.0
BUKIT PANJANG,4 ROOM,273,BANGKIT RD,108.0,Model A,1988,65 years 06 months,448888.0,5.0,65.0
BUKIT PANJANG,4 ROOM,275,BANGKIT RD,84.0,Simplified,1988,64 years 09 months,368888.0,8.0,65.0
BUKIT PANJANG,4 ROOM,535,BT PANJANG RING RD,100.0,Model A,1999,76 years,430000.0,5.0,65.0
BUKIT PANJANG,4 ROOM,545,BT PANJANG RING RD,100.0,Model A,1999,76 years 01 month,533000.0,8.0,65.0
BUKIT PANJANG,4 ROOM,450,BT PANJANG RING RD,101.0,Model A,1997,74 years 01 month,485000.0,11.0,65.0
BUKIT PANJANG,4 ROOM,132,CASHEW RD,107.0,Model A,1988,65 years 07 months,425000.0,2.0,65.0
BUKIT PANJANG,4 ROOM,443A,FAJAR RD,93.0,Model A,2016,93 years 07 months,525000.0,11.0,65.0
BUKIT PANJANG,4 ROOM,403,FAJAR RD,104.0,Model A,1988,65 years 02 months,469000.0,11.0,65.0
BUKIT PANJANG,4 ROOM,442B,FAJAR RD,93.0,Model A,2016,93 years 07 months,542888.0,14.0,65.0
BUKIT PANJANG,4 ROOM,172,GANGSA RD,101.0,Model A,1997,74 years 07 months,570888.0,5.0,65.0
BUKIT PANJANG,4 ROOM,171,GANGSA RD,101.0,Model A,1997,74 years 06 months,510000.0,5.0,65.0
BUKIT PANJANG,4 ROOM,520,JELAPANG RD,102.0,Model A,1998,75 years 02 months,460000.0,14.0,65.0
BUKIT PANJANG,4 ROOM,520,JELAPANG RD,103.0,Model A,1998,75 years 02 months,472000.0,8.0,65.0
BUKIT PANJANG,4 ROOM,510,JELAPANG RD,91.0,Model A2,1998,75 years 01 month,450000.0,14.0,65.0
BUKIT PANJANG,4 ROOM,506,JELAPANG RD,102.0,Model A,1998,74 years 11 months,450000.0,2.0,65.0
BUKIT PANJANG,4 ROOM,175,LOMPANG RD,101.0,Model A,1997,74 years 07 months,581000.0,8.0,65.0
BUKIT PANJANG,4 ROOM,218,PETIR RD,84.0,Simplified,1987,64 years 01 month,395000.0,11.0,65.0
BUKIT PANJANG,4 ROOM,205,PETIR RD,103.0,Model A,1988,65 years 05 months,495000.0,11.0,65.0
BUKIT PANJANG,4 ROOM,150,PETIR RD,103.0,Model A,1988,65 years 02 months,525000.0,5.0,65.0
BUKIT PANJANG,4 ROOM,203,PETIR RD,104.0,Model A,1988,65 years 05 months,435000.0,5.0,65.0
BUKIT PANJANG,4 ROOM,486,SEGAR RD,93.0,Model A,2014,91 years 07 months,465000.0,5.0,65.0
BUKIT PANJANG,4 ROOM,465,SEGAR RD,95.0,Premium Apartment,2002,79 years 02 months,490000.0,11.0,65.0
BUKIT PANJANG,4 ROOM,455,SEGAR RD,93.0,Premium Apartment,2012,89 years 06 months,485000.0,8.0,65.0
BUKIT PANJANG,4 ROOM,548B,SEGAR RD,92.0,Model A,2015,92 years 06 months,478000.0,2.0,65.0
BUKIT PANJANG,4 ROOM,547B,SEGAR RD,92.0,Model A,2015,92 years 02 months,508000.0,14.0,65.0
BUKIT PANJANG,4 ROOM,457,SEGAR RD,93.0,Premium Apartment,2012,89 years 05 months,515000.0,17.0,65.0
BUKIT PANJANG,4 ROOM,481,SEGAR RD,92.0,Premium Apartment,2002,79 years 03 months,435000.0,2.0,65.0
BUKIT PANJANG,4 ROOM,629,SENJA RD,90.0,Premium Apartment,2004,81 years 05 months,498000.0,14.0,65.0
BUKIT PANJANG,4 ROOM,636B,SENJA RD,92.0,Model A,2015,92 years 06 months,498000.0,5.0,65.0
BUKIT PANJANG,4 ROOM,634B,SENJA RD,93.0,Model A,2015,92 years 05 months,480000.0,2.0,65.0
BUKIT PANJANG,4 ROOM,626,SENJA RD,93.0,Premium Apartment,2005,81 years 10 months,500000.0,14.0,65.0
BUKIT PANJANG,4 ROOM,627,SENJA RD,93.0,Premium Apartment,2004,81 years 05 months,530000.0,17.0,65.0
BUKIT PANJANG,4 ROOM,618,SENJA RD,85.0,Model A2,2002,78 years 11 months,453000.0,14.0,65.0
BUKIT PANJANG,4 ROOM,616,SENJA RD,90.0,Model A2,2002,78 years 11 months,470000.0,11.0,65.0
BUKIT PANJANG,4 ROOM,636C,SENJA RD,92.0,Model A,2015,92 years 06 months,496000.0,8.0,65.0
BUKIT PANJANG,4 ROOM,636C,SENJA RD,92.0,Model A,2015,92 years 06 months,555000.0,26.0,65.0
BUKIT PANJANG,4 ROOM,614,SENJA RD,90.0,Model A,2002,78 years 11 months,450000.0,11.0,65.0
BUKIT PANJANG,4 ROOM,636B,SENJA RD,92.0,Model A,2015,92 years 06 months,570000.0,26.0,65.0
BUKIT PANJANG,4 ROOM,634B,SENJA RD,93.0,Model A,2015,92 years 04 months,560888.0,20.0,65.0
BUKIT PANJANG,4 ROOM,634A,SENJA RD,93.0,Model A,2015,92 years 04 months,541000.0,23.0,65.0
BUKIT PANJANG,4 ROOM,633C,SENJA RD,93.0,Model A,2013,90 years 07 months,560000.0,17.0,65.0
BUKIT PANJANG,4 ROOM,635B,SENJA RD,93.0,Model A,2015,92 years 04 months,545000.0,11.0,65.0
BUKIT PANJANG,4 ROOM,635B,SENJA RD,93.0,Model A,2015,92 years 04 months,522000.0,17.0,65.0
BUKIT PANJANG,4 ROOM,635B,SENJA RD,93.0,Model A,2015,92 years 04 months,558000.0,23.0,65.0
BUKIT PANJANG,5 ROOM,620,BT PANJANG RING RD,111.0,Improved,2001,78 years 05 months,580000.0,17.0,65.0
BUKIT PANJANG,5 ROOM,420,FAJAR RD,122.0,Improved,1989,66 years 01 month,581000.0,5.0,65.0
BUKIT PANJANG,5 ROOM,443C,FAJAR RD,113.0,Improved,2016,93 years 06 months,645000.0,11.0,65.0
BUKIT PANJANG,5 ROOM,152,GANGSA RD,121.0,Improved,1998,75 years 06 months,735000.0,8.0,65.0
BUKIT PANJANG,5 ROOM,154,GANGSA RD,121.0,Improved,1998,75 years 06 months,743000.0,17.0,65.0
BUKIT PANJANG,5 ROOM,153,GANGSA RD,121.0,Improved,1998,75 years 04 months,735000.0,20.0,65.0
BUKIT PANJANG,5 ROOM,530,JELAPANG RD,119.0,Improved,1999,75 years 09 months,580000.0,2.0,65.0
BUKIT PANJANG,5 ROOM,516,JELAPANG RD,121.0,Improved,1998,75 years 03 months,550000.0,8.0,65.0
BUKIT PANJANG,5 ROOM,517,JELAPANG RD,123.0,Improved,1998,75 years 06 months,555000.0,8.0,65.0
BUKIT PANJANG,5 ROOM,174,LOMPANG RD,122.0,Improved,1997,74 years 03 months,715000.0,8.0,65.0
BUKIT PANJANG,5 ROOM,174,LOMPANG RD,122.0,Improved,1997,74 years 03 months,708888.0,8.0,65.0
BUKIT PANJANG,5 ROOM,204,PETIR RD,122.0,Improved,1988,65 years 05 months,530000.0,5.0,65.0
BUKIT PANJANG,5 ROOM,204,PETIR RD,122.0,Improved,1988,65 years 05 months,590000.0,11.0,65.0
BUKIT PANJANG,5 ROOM,213,PETIR RD,122.0,Improved,1988,65 years 04 months,550888.0,8.0,65.0
BUKIT PANJANG,5 ROOM,202,PETIR RD,122.0,Improved,1988,65 years 03 months,580000.0,14.0,65.0
BUKIT PANJANG,5 ROOM,473,SEGAR RD,112.0,Premium Apartment,2003,79 years 09 months,500000.0,2.0,65.0
BUKIT PANJANG,5 ROOM,478,SEGAR RD,112.0,Premium Apartment,2003,79 years 08 months,450000.0,2.0,65.0
BUKIT PANJANG,5 ROOM,466,SEGAR RD,110.0,Premium Apartment,2002,78 years 10 months,510000.0,5.0,65.0
BUKIT PANJANG,5 ROOM,622,SENJA RD,110.0,Improved,2001,78 years 07 months,485000.0,2.0,65.0
BUKIT PANJANG,5 ROOM,625,SENJA RD,110.0,Premium Apartment,2004,81 years 06 months,555000.0,5.0,65.0
BUKIT PANJANG,5 ROOM,605,SENJA RD,121.0,Improved,1999,76 years,768000.0,20.0,65.0
BUKIT PANJANG,5 ROOM,604,SENJA RD,120.0,Improved,1999,76 years,750888.0,11.0,65.0
BUKIT PANJANG,5 ROOM,626,SENJA RD,110.0,Premium Apartment,2005,81 years 10 months,631888.0,23.0,65.0
BUKIT PANJANG,5 ROOM,621,SENJA RD,110.0,Improved,2001,78 years 06 months,493000.0,5.0,65.0
BUKIT PANJANG,EXECUTIVE,239,BT PANJANG RING RD,155.0,Maisonette,1989,65 years 08 months,800000.0,5.0,65.0
BUKIT PANJANG,2 ROOM,488,SEGAR RD,47.0,2-room,2014,91 years 06 months,280000.0,8.0,66.0
BUKIT PANJANG,3 ROOM,251,BANGKIT RD,73.0,Model A,1988,65 years 05 months,358000.0,8.0,66.0
BUKIT PANJANG,3 ROOM,454,FAJAR RD,68.0,Model A,2015,92 years 06 months,395000.0,11.0,66.0
BUKIT PANJANG,3 ROOM,443A,FAJAR RD,68.0,Model A,2016,93 years 06 months,416500.0,11.0,66.0
BUKIT PANJANG,3 ROOM,123,PENDING RD,73.0,Model A,1988,65 years 04 months,330000.0,5.0,66.0
BUKIT PANJANG,3 ROOM,230,PENDING RD,73.0,Model A,1988,65 years 06 months,350000.0,2.0,66.0
BUKIT PANJANG,3 ROOM,214,PETIR RD,73.0,Model A,1988,65 years 04 months,388000.0,11.0,66.0
BUKIT PANJANG,3 ROOM,547D,SEGAR RD,67.0,Model A,2015,92 years,425000.0,11.0,66.0
BUKIT PANJANG,3 ROOM,548A,SEGAR RD,67.0,Model A,2015,92 years 06 months,425888.0,11.0,66.0
BUKIT PANJANG,4 ROOM,270,BANGKIT RD,104.0,Model A,1988,65 years 04 months,440888.0,11.0,66.0
BUKIT PANJANG,4 ROOM,257,BANGKIT RD,115.0,Model A,1989,66 years 01 month,475000.0,5.0,66.0
BUKIT PANJANG,4 ROOM,250,BANGKIT RD,103.0,Model A,1988,65 years 04 months,473888.0,8.0,66.0
BUKIT PANJANG,4 ROOM,276,BANGKIT RD,104.0,Model A,1988,65 years 04 months,428000.0,5.0,66.0
BUKIT PANJANG,4 ROOM,537,BT PANJANG RING RD,100.0,Model A,1999,76 years,485000.0,5.0,66.0
BUKIT PANJANG,4 ROOM,420,FAJAR RD,104.0,Model A,1989,66 years,460000.0,5.0,66.0
BUKIT PANJANG,4 ROOM,418,FAJAR RD,104.0,Model A,1989,65 years 08 months,402888.0,5.0,66.0
BUKIT PANJANG,4 ROOM,407,FAJAR RD,104.0,Model A,1989,65 years 07 months,460000.0,5.0,66.0
BUKIT PANJANG,4 ROOM,442C,FAJAR RD,93.0,Model A,2016,93 years 06 months,549888.0,14.0,66.0
BUKIT PANJANG,4 ROOM,170,GANGSA RD,101.0,Model A,1997,74 years 06 months,560000.0,8.0,66.0
BUKIT PANJANG,4 ROOM,108,GANGSA RD,103.0,Model A,1986,63 years 05 months,445000.0,5.0,66.0
BUKIT PANJANG,4 ROOM,509,JELAPANG RD,92.0,Model A2,1998,74 years 11 months,445000.0,5.0,66.0
BUKIT PANJANG,4 ROOM,540,JELAPANG RD,102.0,Model A,1999,75 years 11 months,520000.0,20.0,66.0
BUKIT PANJANG,4 ROOM,508,JELAPANG RD,90.0,Model A2,1998,74 years 11 months,463000.0,8.0,66.0
BUKIT PANJANG,4 ROOM,506,JELAPANG RD,102.0,Model A,1998,74 years 10 months,440000.0,5.0,66.0
BUKIT PANJANG,4 ROOM,501,JELAPANG RD,103.0,Model A,1998,74 years 09 months,480000.0,14.0,66.0
BUKIT PANJANG,4 ROOM,511,JELAPANG RD,102.0,Model A,1998,74 years 10 months,455000.0,5.0,66.0
BUKIT PANJANG,4 ROOM,178,LOMPANG RD,90.0,Model A,2001,78 years 06 months,590000.0,8.0,66.0
BUKIT PANJANG,4 ROOM,177,LOMPANG RD,90.0,Model A,2001,78 years 06 months,468000.0,2.0,66.0
BUKIT PANJANG,4 ROOM,213,PETIR RD,108.0,Model A,1988,65 years 04 months,460000.0,8.0,66.0
BUKIT PANJANG,4 ROOM,201,PETIR RD,104.0,Model A,1988,64 years 10 months,486000.0,11.0,66.0
BUKIT PANJANG,4 ROOM,458,SEGAR RD,93.0,Premium Apartment,2012,89 years 05 months,470000.0,2.0,66.0
BUKIT PANJANG,4 ROOM,461,SEGAR RD,93.0,Premium Apartment,2015,92 years 02 months,505000.0,11.0,66.0
BUKIT PANJANG,4 ROOM,550A,SEGAR RD,92.0,Model A,2015,92 years 06 months,435000.0,2.0,66.0
BUKIT PANJANG,4 ROOM,455,SEGAR RD,93.0,Premium Apartment,2012,89 years 05 months,510000.0,14.0,66.0
BUKIT PANJANG,4 ROOM,550A,SEGAR RD,92.0,Model A,2015,92 years 05 months,495000.0,11.0,66.0
BUKIT PANJANG,4 ROOM,546A,SEGAR RD,92.0,Model A,2015,92 years 01 month,520000.0,17.0,66.0
BUKIT PANJANG,4 ROOM,486,SEGAR RD,93.0,Model A,2014,91 years 06 months,492000.0,11.0,66.0
BUKIT PANJANG,4 ROOM,549A,SEGAR RD,92.0,Model A,2015,92 years 05 months,512000.0,8.0,66.0
BUKIT PANJANG,4 ROOM,635A,SENJA RD,92.0,Model A,2015,92 years 04 months,550000.0,26.0,66.0
BUKIT PANJANG,4 ROOM,635B,SENJA RD,93.0,Model A,2015,92 years 04 months,560000.0,29.0,66.0
BUKIT PANJANG,4 ROOM,636C,SENJA RD,92.0,Model A,2015,92 years 05 months,468000.0,2.0,66.0
BUKIT PANJANG,4 ROOM,636C,SENJA RD,92.0,Model A,2015,92 years 04 months,580000.0,26.0,66.0
BUKIT PANJANG,5 ROOM,248,BANGKIT RD,122.0,Improved,1988,65 years 04 months,620000.0,14.0,66.0
BUKIT PANJANG,5 ROOM,429,BT PANJANG RING RD,133.0,Improved,1989,65 years 10 months,595000.0,8.0,66.0
BUKIT PANJANG,5 ROOM,535,BT PANJANG RING RD,121.0,Improved,1999,75 years 11 months,670000.0,20.0,66.0
BUKIT PANJANG,5 ROOM,535,BT PANJANG RING RD,121.0,Improved,1999,75 years 10 months,692888.0,20.0,66.0
BUKIT PANJANG,5 ROOM,442C,FAJAR RD,113.0,Improved,2016,93 years 06 months,625000.0,8.0,66.0
BUKIT PANJANG,5 ROOM,443C,FAJAR RD,113.0,Improved,2016,93 years 06 months,650000.0,8.0,66.0
BUKIT PANJANG,5 ROOM,442D,FAJAR RD,113.0,Improved,2016,93 years 05 months,600000.0,5.0,66.0
BUKIT PANJANG,5 ROOM,146,GANGSA RD,122.0,Improved,1988,65 years 02 months,600000.0,8.0,66.0
BUKIT PANJANG,5 ROOM,163,GANGSA RD,120.0,Improved,1998,74 years 10 months,790000.0,20.0,66.0
BUKIT PANJANG,5 ROOM,170,GANGSA RD,122.0,Improved,1997,74 years 05 months,688000.0,5.0,66.0
BUKIT PANJANG,5 ROOM,519,JELAPANG RD,125.0,Improved,1998,75 years 05 months,530000.0,5.0,66.0
BUKIT PANJANG,5 ROOM,504,JELAPANG RD,123.0,Improved,1998,74 years 07 months,612888.0,14.0,66.0
BUKIT PANJANG,5 ROOM,512,JELAPANG RD,120.0,Improved,1998,74 years 11 months,560000.0,8.0,66.0
BUKIT PANJANG,5 ROOM,523,JELAPANG RD,121.0,Improved,1998,75 years 03 months,605000.0,11.0,66.0
BUKIT PANJANG,5 ROOM,471,SEGAR RD,110.0,Premium Apartment,2002,78 years 10 months,488000.0,14.0,66.0
BUKIT PANJANG,5 ROOM,476,SEGAR RD,110.0,Premium Apartment,2002,79 years 05 months,468000.0,8.0,66.0
BUKIT PANJANG,5 ROOM,473,SEGAR RD,110.0,Premium Apartment,2003,79 years 07 months,532000.0,11.0,66.0
BUKIT PANJANG,5 ROOM,549A,SEGAR RD,113.0,Improved,2015,92 years 06 months,690000.0,8.0,66.0
BUKIT PANJANG,5 ROOM,474,SEGAR RD,111.0,Premium Apartment,2003,79 years 07 months,499000.0,14.0,66.0
BUKIT PANJANG,5 ROOM,622,SENJA RD,110.0,Improved,2001,78 years 06 months,520000.0,5.0,66.0
BUKIT PANJANG,5 ROOM,635B,SENJA RD,112.0,Improved,2015,92 years 04 months,660000.0,17.0,66.0
BUKIT PANJANG,5 ROOM,603,SENJA RD,121.0,Improved,1999,76 years,775000.0,29.0,66.0
BUKIT PANJANG,EXECUTIVE,254,BANGKIT RD,146.0,Maisonette,1988,64 years 09 months,800000.0,5.0,66.0
BUKIT PANJANG,EXECUTIVE,130,CASHEW RD,145.0,Apartment,1988,65 years 05 months,740000.0,8.0,66.0
BUKIT PANJANG,EXECUTIVE,408,FAJAR RD,146.0,Maisonette,1989,65 years 08 months,718000.0,5.0,66.0
BUKIT PANJANG,EXECUTIVE,155,GANGSA RD,140.0,Apartment,1998,75 years 04 months,800000.0,8.0,66.0
BUKIT PANJANG,EXECUTIVE,184,JELEBU RD,124.0,Premium Apartment,2003,79 years 11 months,850000.0,17.0,66.0
BUKIT PANJANG,EXECUTIVE,138,PETIR RD,149.0,Maisonette,1989,65 years 10 months,818000.0,2.0,66.0
BUKIT PANJANG,EXECUTIVE,483,SEGAR RD,128.0,Premium Apartment,2002,79 years 03 months,600000.0,14.0,66.0
BUKIT PANJANG,EXECUTIVE,470,SEGAR RD,132.0,Premium Apartment,2002,78 years 10 months,610000.0,11.0,66.0
BUKIT PANJANG,EXECUTIVE,653,SENJA LINK,130.0,Premium Apartment,2001,78 years 03 months,750000.0,20.0,66.0
BUKIT PANJANG,EXECUTIVE,651,SENJA LINK,130.0,Premium Apartment,2001,78 years 04 months,700000.0,5.0,66.0
BUKIT PANJANG,3 ROOM,250,BANGKIT RD,73.0,Model A,1988,65 years 04 months,355000.0,2.0,67.0
BUKIT PANJANG,3 ROOM,251,BANGKIT RD,73.0,Model A,1988,65 years 04 months,370000.0,8.0,67.0
BUKIT PANJANG,3 ROOM,131,CASHEW RD,73.0,Model A,1988,64 years 09 months,355888.0,8.0,67.0
BUKIT PANJANG,3 ROOM,454,FAJAR RD,68.0,Model A,2015,92 years 05 months,382000.0,2.0,67.0
BUKIT PANJANG,3 ROOM,216,PETIR RD,73.0,Model A,1989,65 years 08 months,383000.0,11.0,67.0
BUKIT PANJANG,3 ROOM,547C,SEGAR RD,67.0,Model A,2015,92 years,420000.0,11.0,67.0
BUKIT PANJANG,3 ROOM,636A,SENJA RD,67.0,Model A,2015,92 years 04 months,408000.0,26.0,67.0
BUKIT PANJANG,4 ROOM,272,BANGKIT RD,106.0,Model A,1988,65 years 05 months,465000.0,5.0,67.0
BUKIT PANJANG,4 ROOM,248,BANGKIT RD,104.0,Model A,1988,65 years 02 months,450000.0,5.0,67.0
BUKIT PANJANG,4 ROOM,240,BT PANJANG RING RD,84.0,Simplified,1988,64 years 10 months,400000.0,8.0,67.0
BUKIT PANJANG,4 ROOM,236,BT PANJANG RING RD,84.0,Simplified,1988,64 years 08 months,390000.0,5.0,67.0
BUKIT PANJANG,4 ROOM,236,BT PANJANG RING RD,104.0,Model A,1988,64 years 07 months,428000.0,2.0,67.0
BUKIT PANJANG,4 ROOM,450,BT PANJANG RING RD,101.0,Model A,1997,74 years,440000.0,8.0,67.0
BUKIT PANJANG,4 ROOM,435,BT PANJANG RING RD,104.0,Model A,1988,65 years 05 months,480000.0,11.0,67.0
BUKIT PANJANG,4 ROOM,539,BT PANJANG RING RD,100.0,Model A,1999,75 years 11 months,500000.0,11.0,67.0
BUKIT PANJANG,4 ROOM,402,FAJAR RD,104.0,Model A,1988,65 years 04 months,470000.0,8.0,67.0
BUKIT PANJANG,4 ROOM,419,FAJAR RD,104.0,Model A,1989,65 years 08 months,450000.0,11.0,67.0
BUKIT PANJANG,4 ROOM,436,FAJAR RD,104.0,Model A,1989,66 years 05 months,450888.0,5.0,67.0
BUKIT PANJANG,4 ROOM,443A,FAJAR RD,93.0,Model A,2016,93 years 05 months,499888.0,8.0,67.0
BUKIT PANJANG,4 ROOM,170,GANGSA RD,101.0,Model A,1997,74 years 05 months,620000.0,8.0,67.0
BUKIT PANJANG,4 ROOM,173,GANGSA RD,101.0,Model A,1997,74 years 05 months,565888.0,8.0,67.0
BUKIT PANJANG,4 ROOM,502,JELAPANG RD,102.0,Model A,1998,74 years 07 months,475000.0,20.0,67.0
BUKIT PANJANG,4 ROOM,515,JELAPANG RD,103.0,Model A,1998,75 years 03 months,448000.0,2.0,67.0
BUKIT PANJANG,4 ROOM,501,JELAPANG RD,103.0,Model A,1998,74 years 09 months,440000.0,2.0,67.0
BUKIT PANJANG,4 ROOM,501,JELAPANG RD,103.0,Model A,1998,74 years 09 months,480000.0,20.0,67.0
BUKIT PANJANG,4 ROOM,519,JELAPANG RD,103.0,Model A,1998,75 years 04 months,451000.0,2.0,67.0
BUKIT PANJANG,4 ROOM,518,JELAPANG RD,102.0,Model A,1998,75 years 02 months,458000.0,8.0,67.0
BUKIT PANJANG,4 ROOM,185,JELEBU RD,94.0,Premium Apartment,2003,79 years 09 months,658000.0,14.0,67.0
BUKIT PANJANG,4 ROOM,175,LOMPANG RD,104.0,Model A,1997,74 years 05 months,575000.0,5.0,67.0
BUKIT PANJANG,4 ROOM,178,LOMPANG RD,90.0,Model A,2001,78 years 06 months,520000.0,14.0,67.0
BUKIT PANJANG,4 ROOM,125,PENDING RD,103.0,Model A,1987,64 years 02 months,455000.0,8.0,67.0
BUKIT PANJANG,4 ROOM,113,PENDING RD,103.0,Model A,1988,64 years 07 months,470000.0,11.0,67.0
BUKIT PANJANG,4 ROOM,137,PETIR RD,103.0,Model A,1989,66 years,422000.0,2.0,67.0
BUKIT PANJANG,4 ROOM,208,PETIR RD,104.0,Model A,1988,64 years 08 months,415000.0,2.0,67.0
BUKIT PANJANG,4 ROOM,150,PETIR RD,103.0,Model A,1988,65 years 01 month,480000.0,11.0,67.0
BUKIT PANJANG,4 ROOM,207,PETIR RD,84.0,Simplified,1988,64 years 09 months,410000.0,8.0,67.0
BUKIT PANJANG,4 ROOM,415,SAUJANA RD,104.0,Model A,1989,65 years 06 months,432000.0,2.0,67.0
BUKIT PANJANG,4 ROOM,546A,SEGAR RD,92.0,Model A,2015,92 years,500000.0,17.0,67.0
BUKIT PANJANG,4 ROOM,458,SEGAR RD,93.0,Premium Apartment,2012,89 years 04 months,510000.0,11.0,67.0
BUKIT PANJANG,4 ROOM,460,SEGAR RD,93.0,Premium Apartment,2015,92 years 02 months,480000.0,2.0,67.0
BUKIT PANJANG,4 ROOM,472,SEGAR RD,90.0,Premium Apartment,2002,79 years,460000.0,11.0,67.0
BUKIT PANJANG,4 ROOM,486,SEGAR RD,93.0,Model A,2014,91 years 05 months,502000.0,14.0,67.0
BUKIT PANJANG,4 ROOM,458,SEGAR RD,93.0,Premium Apartment,2012,89 years 04 months,545000.0,11.0,67.0
BUKIT PANJANG,4 ROOM,472,SEGAR RD,90.0,Premium Apartment,2002,79 years,468000.0,14.0,67.0
BUKIT PANJANG,4 ROOM,482,SEGAR RD,94.0,Premium Apartment,2002,79 years 05 months,470000.0,17.0,67.0
BUKIT PANJANG,4 ROOM,476,SEGAR RD,91.0,Premium Apartment,2002,79 years 03 months,439000.0,2.0,67.0
BUKIT PANJANG,4 ROOM,651,SENJA LINK,91.0,Premium Apartment,2001,78 years 04 months,465000.0,8.0,67.0
BUKIT PANJANG,4 ROOM,635A,SENJA RD,93.0,Model A,2015,92 years 03 months,535000.0,17.0,67.0
BUKIT PANJANG,4 ROOM,616,SENJA RD,90.0,Model A2,2002,78 years 09 months,510000.0,14.0,67.0
BUKIT PANJANG,4 ROOM,616,SENJA RD,85.0,Model A2,2002,78 years 09 months,475000.0,17.0,67.0
BUKIT PANJANG,4 ROOM,606,SENJA RD,99.0,Model A,1999,75 years 09 months,530000.0,5.0,67.0
BUKIT PANJANG,4 ROOM,636B,SENJA RD,92.0,Model A,2015,92 years 04 months,548000.0,11.0,67.0
BUKIT PANJANG,4 ROOM,614,SENJA RD,91.0,Model A,2002,78 years 08 months,440000.0,5.0,67.0
BUKIT PANJANG,4 ROOM,635A,SENJA RD,92.0,Model A,2015,92 years 03 months,500000.0,8.0,67.0
BUKIT PANJANG,4 ROOM,635A,SENJA RD,92.0,Model A,2015,92 years 03 months,618000.0,35.0,67.0
BUKIT PANJANG,5 ROOM,541,BT PANJANG RING RD,122.0,Improved,1999,75 years 11 months,652000.0,8.0,67.0
BUKIT PANJANG,5 ROOM,613,BT PANJANG RING RD,112.0,Improved,2002,78 years 09 months,580000.0,20.0,67.0
BUKIT PANJANG,5 ROOM,443D,FAJAR RD,113.0,Improved,2016,93 years 05 months,665000.0,8.0,67.0
BUKIT PANJANG,5 ROOM,418,FAJAR RD,123.0,Improved,1989,65 years 07 months,588000.0,8.0,67.0
BUKIT PANJANG,5 ROOM,443D,FAJAR RD,113.0,Improved,2016,93 years 05 months,630000.0,5.0,67.0
BUKIT PANJANG,5 ROOM,518,JELAPANG RD,121.0,Improved,1998,75 years 02 months,620000.0,14.0,67.0
BUKIT PANJANG,5 ROOM,520,JELAPANG RD,121.0,Improved,1998,75 years,600000.0,14.0,67.0
BUKIT PANJANG,5 ROOM,519,JELAPANG RD,125.0,Improved,1998,75 years 04 months,545000.0,5.0,67.0
BUKIT PANJANG,5 ROOM,183,JELEBU RD,110.0,Premium Apartment,2003,79 years 10 months,720000.0,14.0,67.0
BUKIT PANJANG,5 ROOM,178,LOMPANG RD,110.0,Improved,2001,78 years 05 months,778000.0,20.0,67.0
BUKIT PANJANG,5 ROOM,136,PETIR RD,122.0,Improved,1988,65 years 02 months,555000.0,2.0,67.0
BUKIT PANJANG,5 ROOM,410,SAUJANA RD,130.0,Improved,1989,65 years 08 months,635000.0,8.0,67.0
BUKIT PANJANG,5 ROOM,547A,SEGAR RD,112.0,Improved,2015,92 years 01 month,668000.0,17.0,67.0
BUKIT PANJANG,5 ROOM,473,SEGAR RD,111.0,Premium Apartment,2003,79 years 06 months,513000.0,11.0,67.0
BUKIT PANJANG,5 ROOM,549A,SEGAR RD,113.0,Improved,2015,92 years 05 months,648000.0,8.0,67.0
BUKIT PANJANG,5 ROOM,546A,SEGAR RD,112.0,Improved,2015,92 years,610000.0,5.0,67.0
BUKIT PANJANG,5 ROOM,629,SENJA RD,110.0,Premium Apartment,2004,81 years 04 months,635000.0,20.0,67.0
BUKIT PANJANG,5 ROOM,627,SENJA RD,110.0,Premium Apartment,2004,81 years 03 months,625000.0,20.0,67.0
BUKIT PANJANG,5 ROOM,612,SENJA RD,110.0,Improved,2002,78 years 09 months,565000.0,8.0,67.0
BUKIT PANJANG,5 ROOM,626,SENJA RD,110.0,Premium Apartment,2005,81 years 08 months,608000.0,20.0,67.0
BUKIT PANJANG,5 ROOM,606,SENJA RD,120.0,Improved,1999,75 years 09 months,790000.0,26.0,67.0
